["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.7719965817562388e-03 -2.7116470437998972e+00
1.9049312435416666e+14 3.1981012026886138e-03 -3.3232324124747072e+00
1.9361596245833331e+14 1.4817076938916797e-03 -5.6191038190399745e+00
1.9673880056250000e+14 2.1631669470802864e-03 -6.9791565599537746e+00
1.9986163866666666e+14 2.1124692811532917e-03 -5.8647550616775881e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 6.3041627145758639e-01 -3.0697589968328609e-01
1.9049312435416666e+14 6.9628161065934702e-01 2.8246950173857917e+00
1.9361596245833331e+14 7.5185091241003765e-01 -2.8979947013208940e-01
1.9673880056250000e+14 7.9731815746837498e-01 -3.3768149893129968e+00
1.9986163866666666e+14 8.3388944419725375e-01 -6.4436778539546147e+00
("port 1","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.8737028625000000e+14 1.4850774996205179e-03 2.7446882629747389e+00
1.9049312435416666e+14 2.0631383205143646e-03 1.2640620311703361e+00
1.9361596245833331e+14 1.6469031401396652e-03 -5.7774518158346733e-01
1.9673880056250000e+14 1.4885817051618377e-03 -1.9497617324070180e+00
1.9986163866666666e+14 1.9089897921034530e-03 -4.5989244096585651e+00
("port 1","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.8737028625000000e+14 7.6219098133349639e-01 -2.2703769526267568e+00
1.9049312435416666e+14 7.0999706102126070e-01 -5.0624307575229235e+00
1.9361596245833331e+14 6.5440934096719316e-01 -7.8261466443346412e+00
1.9673880056250000e+14 5.9875298582247360e-01 -1.0568073481458429e+01
1.9986163866666666e+14 5.4477842294874401e-01 -1.3293836230815778e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 6.3033662689909442e-01 -3.0719413800227208e-01
1.9049312435416666e+14 6.9624283082148974e-01 2.8245935123950603e+00
1.9361596245833331e+14 7.5183211691011775e-01 -2.8983203609545244e-01
1.9673880056250000e+14 7.9727589067859295e-01 -3.3768264346820169e+00
1.9986163866666666e+14 8.3377085107965010e-01 -6.4437104040861941e+00
("port 2","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.9551587100846381e-03 -2.6945853501744921e+00
1.9049312435416666e+14 3.3119613464316568e-03 -3.3422766209485975e+00
1.9361596245833331e+14 1.5619600383236065e-03 -5.6613498288024946e+00
1.9673880056250000e+14 2.1222154628555748e-03 -7.0259584956667371e+00
1.9986163866666666e+14 2.0283328282300925e-03 -5.7853383105105634e+00
("port 2","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.8737028625000000e+14 7.6219499793753243e-01 8.7131545230912366e-01
1.9049312435416666e+14 7.0999855829640490e-01 -1.9207448241795340e+00
1.9361596245833331e+14 6.5441327479502576e-01 -4.6844676042022648e+00
1.9673880056250000e+14 5.9875914173684508e-01 -7.4264004145472082e+00
1.9986163866666666e+14 5.4478405763720295e-01 -1.0152171222801062e+01
("port 2","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.8737028625000000e+14 1.5903300906645055e-03 -4.2528995953768040e-01
1.9049312435416666e+14 2.2387297037150347e-03 -1.9088454680411031e+00
1.9361596245833331e+14 1.8128900362853672e-03 -3.8014616218806325e+00
1.9673880056250000e+14 1.5221678372953403e-03 -5.1845206816560099e+00
1.9986163866666666e+14 2.0388274169945296e-03 -7.7444927355027948e+00
("port 3","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.5989516530520913e-04 -2.6132537154252389e+00
1.9049312435416666e+14 9.8214494167844150e-04 -4.7803664583754912e+00
1.9361596245833331e+14 4.7346016730903293e-04 -6.9115294682477879e+00
1.9673880056250000e+14 6.8935491111297585e-04 -7.9747990868952714e+00
1.9986163866666666e+14 1.0282864398853632e-03 -1.1023440635885240e+01
("port 3","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 7.6030337744847687e-01 8.7142868189155842e-01
1.9049312435416666e+14 7.0822444172224819e-01 -1.9206526274432254e+00
1.9361596245833331e+14 6.5283624219467307e-01 -4.6842819545628558e+00
1.9673880056250000e+14 5.9748062340184049e-01 -7.4260784706416239e+00
1.9986163866666666e+14 5.4383390984936575e-01 -1.0151893735098513e+01
("port 3","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.8737028625000000e+14 3.1247623394439128e-03 3.0645762888768142e+00
1.9049312435416666e+14 5.7502081974502659e-03 3.5897185984599393e+00
