["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 1.5082576206163026e-01 2.3342104873840759e+00
1.9049312435416666e+14 1.3803989649577805e-01 3.7510782421823814e+00
1.9361596245833331e+14 1.2141501856036656e-01 5.0579794725345550e+00
1.9673880056250000e+14 1.1353730748621692e-01 6.6504234343807367e+00
1.9986163866666666e+14 9.0160859699505880e-02 8.0238823175836984e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 6.5398410228230430e-01 -2.8170198669359425e-01
1.9049312435416666e+14 7.2741698111873920e-01 2.7814439991902793e+00
1.9361596245833331e+14 7.7218440546883371e-01 -2.5872121853111063e-01
1.9673880056250000e+14 7.9188963213981367e-01 2.8717600470568110e+00
1.9986163866666666e+14 8.5152939222802804e-01 -1.4279195827403257e-01
("port 1","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.8737028625000000e+14 1.2652767447097590e-01 9.0432604226707247e-01
1.9049312435416666e+14 1.3839725767755104e-01 2.4097084635287072e+00
1.9361596245833331e+14 1.4612365405483693e-01 3.9428209064183291e+00
1.9673880056250000e+14 1.4669267128449631e-01 5.6065302607475900e+00
1.9986163866666666e+14 1.4150080701059062e-01 7.2453722167751504e+00
("port 1","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.8737028625000000e+14 7.3052351538614735e-01 -1.7689976325123378e+00
1.9049312435416666e+14 6.8530198182834079e-01 -4.7601895419781215e+00
1.9361596245833331e+14 6.3654452844019660e-01 -7.7257208210098112e+00
1.9673880056250000e+14 5.8944360987401512e-01 -1.0669879248566442e+01
1.9986163866666666e+14 5.4232922896705582e-01 -1.3600297182330252e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 6.5390738691999373e-01 -2.8191293599680378e-01
1.9049312435416666e+14 7.2739563602928037e-01 2.7813450359129002e+00
1.9361596245833331e+14 7.7218400966236722e-01 -2.5876291527403578e-01
1.9673880056250000e+14 7.9185983571182295e-01 2.8717371903826239e+00
1.9986163866666666e+14 8.5141416752662313e-01 -1.4282901246141963e-01
("port 2","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 1.5091488651816057e-01 2.3336014048948899e+00
1.9049312435416666e+14 1.3819857889341616e-01 3.7521883913368135e+00
1.9361596245833331e+14 1.2130837878064789e-01 5.0588130313143829e+00
1.9673880056250000e+14 1.1349188078753662e-01 6.6496472200727252e+00
1.9986163866666666e+14 9.0289355425879264e-02 8.0253686283322132e+00
("port 2","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.8737028625000000e+14 7.3051478253652746e-01 1.3725949835256888e+00
1.9049312435416666e+14 6.8525330181092869e-01 -1.6185582926769455e+00
1.9361596245833331e+14 6.3654698250838160e-01 -4.5840067569477290e+00
1.9673880056250000e+14 5.8950915138662807e-01 -7.5282708345770928e+00
1.9986163866666666e+14 5.4233406308890952e-01 -1.0458794993625723e+01
("port 2","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.8737028625000000e+14 1.2665101299434658e-01 -2.2381965566906583e+00
1.9049312435416666e+14 1.3845781278708374e-01 -7.3020897188402056e-01
1.9361596245833331e+14 1.4587873625858336e-01 8.0089419768178827e-01
1.9673880056250000e+14 1.4677690657941050e-01 2.4633291418409136e+00
1.9986163866666666e+14 1.4164555374847904e-01 4.1050452491808276e+00
("port 3","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.8737028625000000e+14 1.2816049508521962e-01 8.8038037764226451e-01
1.9049312435416666e+14 1.3643568451704438e-01 2.4525472879960901e+00
1.9361596245833331e+14 1.4440617175465645e-01 3.8931917621778354e+00
1.9673880056250000e+14 1.5038094939980068e-01 5.6630058500575915e+00
1.9986163866666666e+14 1.3514917941311547e-01 7.1946793992727800e+00
("port 3","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.8737028625000000e+14 7.3962364123737678e-01 1.3500724317988424e+00
1.9049312435416666e+14 6.7680902701090817e-01 -1.5755457041717458e+00
